,ICPF.Nr,Plot,PlotID,LeadPostdoc,sample_date,Plot.Name.Number,code_country,code_plot,Country,Region,code_altitude,plot_size,mean_age,tree_species,mix_descr,mix_stringent,mix,biogeog,latitude,longitude
88,14_17,SV18S,SPRUCE_PLOT18,Sietse,10/09/2014,Jochberg,14,17,Austria,,21,0.25,61 - 80,SPRUCE,no,0,0,Alpine,47.3325,12.40527778
89,15_2,SV25P,PINE_PLOT25,Sietse,12/08/2015,Pallasj???rvi,15,2,Finland,,7,0.27,81 - 100,PINE,"some Spruce amd Birch, with Juniper and young Spruce and Pine in the understorey",1,1,Boreal,67.95027778,24.05722222
90,15_3,SV31S,SPRUCE_PLOT31,Sietse,12/08/2015,Pallasj???rvi,15,3,Finland,,6,0.27,> 120,SPRUCE,one Birch tree,1,0,Boreal,67.99944444,24.23611111
91,15_5,SV30S,SPRUCE_PLOT30,Sietse,11/08/2015,Kivalo,15,5,Finland,,6,0.27,61 - 80,SPRUCE,only a few Pine and one Birch tree,1,0,Boreal,66.3325,26.64555556
92,15_6,SV24P,PINE_PLOT24,Sietse,11/08/2015,Kivalo,15,6,Finland,,3,0.27,41 - 60,PINE,no,0,0,Boreal,66.36305556,26.73361111
93,15_10,SV23P,PINE_PLOT23,Sietse,10/08/2015,Juupajoki,15,10,Finland,,4,0.27,61 - 80,PINE,"odd Birch tree, with Juniper and young Spruce and Pine in the understorey",1,1,Boreal,61.86666667,24.2
94,15_12,SV34S,SPRUCE_PLOT34,Sietse,18/08/2015,Tammela,15,12,Finland,,3,0.27,41 - 60,SPRUCE,quite a few Birch and Pine trees,1,1,Boreal,60.63333333,23.8
95,15_13,SV28P,PINE_PLOT28,Sietse,18/08/2015,Tammela,15,13,Finland,,3,0.27,41 - 60,PINE,"some  Birch, with young Spruce trees in the understorey",1,1,Boreal,60.6,23.83333333
96,15_16,SV27P,PINE_PLOT27,Sietse,15/08/2015,Punkaharju,15,16,Finland,,2,0.27,61 - 80,PINE,some Populus tremula and Birch,1,1,Boreal,61.77333333,29.33694444
97,15_17,SV32S,SPRUCE_PLOT32,Sietse,15/08/2015,Punkaharju,15,17,Finland,,2,0.27,61 - 80,SPRUCE,quite some Birch trees,1,1,Boreal,61.81333333,29.3225
98,15_19,SV33S,SPRUCE_PLOT33,Sietse,17/08/2015,Evo,15,19,Finland,,4,0.3812,> 120,SPRUCE,quite a few Birch and Pine trees ,1,1,Boreal,61.2425,25.06861111
99,15_20,SV26P,PINE_PLOT26,Sietse,14/08/2015,Lieksa,15,20,Finland,,4,0.5814,> 120,PINE,some Populus tremula and Birch,1,1,Boreal,63.15916667,30.70805556
100,50_2,SV12S,SPRUCE_PLOT12,Sietse,23/06/2014,Beatenburg,50,2,Switzerland,Bern,31,2,NA,SPRUCE,no,0,0,Alpine,46.71638889,7.763333333
101,50_3,SV05B,BEECH_PLOT5,Sietse,02/04/2014,Bettlachstock,50,3,Switzerland,Jura,24,1.27,NA,BEECH,quite a few other trees mixed in,1,1,Continental,47.22638889,7.4175
102,50_5,SV13S,SPRUCE_PLOT13,Sietse,26/06/2014,Chironico,50,5,Switzerland,Tessin,28,2,NA,SPRUCE,no,0,0,Alpine,46.44805556,8.813333333
103,50_9,SV07P,PINE_PLOT7,Sietse,03/04/2014,Lens,50,9,Switzerland,Valais,22,2,NA,PINE,no,0,0,Alpine,46.26972222,7.436944444
105,50_15,SV08S,SPRUCE_PLOT8,Sietse,04/04/2014,Vordemwald,50,15,Switzerland,Aargau,10,2,NA,SPRUCE,"many other tree spp. present, mainly Silver Fir",1,1,Continental,47.27555556,7.887777778
106,50_18,SV14S,SPRUCE_PLOT14,Sietse,01/06/2014,Davos,50,18,Switzerland,Graubunden,33,1.05,NA,SPRUCE,no,0,0,Alpine,46.81666667,9.856111111
104,50_19,SV17B,BEECH_PLOT17,Sietse,27/06/2014,Wettingen,50,13,Switzerland,Arrau,10,2,NA,BEECH,some Oaks,1,1,Continental,47.47833333,8.364444444
107,51_1,SV34B,BEECH_PLOT34,Sietse,10/06/2015,Gy???ngy???s,51,1,Hungary,,12,0.25,81 - 100,BEECH,no,0,0,Pannonian,47.89194444,19.95861111
108,51_3,M03,OAK_PLOT16,Laura,12/10/2011,,51,3,Hungary,,14,0.25,61 - 80,OAK,"FS, QC, CB",1,1,Pannonian,47.86277778,19.96694444
109,51_16,M16,OAK_PLOT15,Laura,15/10/2011,,51,16,Hungary,,6,0.28,61 - 80,OAK,"PS, CB",1,1,Pannonian,46.82222222,16.40416667
110,51_20,SV28S,SPRUCE_PLOT28,Sietse,10/06/2015,Gy???ngy???s,51,20,Hungary,,12,0.25,41 - 60,SPRUCE,no,0,0,Pannonian,47.89305556,19.9525
111,52_5,5,OAK_PLOT18,Laura,13/04/2011,,52,5,Romania,,2,0.25,NA,OAK,"CB, AC, TT",1,1,Continental,44.50944444,26.17722222
112,52_13,13,OAK_PLOT17,Laura,14/04/2011,,52,13,Romania,,10,0.25,NA,OAK,"FS, CB",1,1,Continental,45.02972222,24.9925
113,53_116,SV33B,BEECH_PLOT33,Sietse,27/05/2015,Wyspowo,53,116,Poland,Gdansk,4,0.84,NA,BEECH,"a few Pine trees, Oak and Birch",1,1,Continental,54.55916667,18.27055556
114,53_202,SV24S,SPRUCE_PLOT24,Sietse,28/05/2015,Suwalki,53,202,Poland,Bialystok,5,0.75,NA,SPRUCE,"quite a lot of Hazel, Beech mixed in",1,1,Continental,54.28333333,23.00555556
115,53_206,SV14P,PINE_PLOT14,Sietse,27/05/2015,Strzalowo,53,206,Poland,Olsztyn,3,0.56,NA,PINE,"quite a lot of Hazel, Beech mixed in",1,1,Continental,53.66694444,21.43361111
116,53_212,SV15P,PINE_PLOT15,Sietse,28/05/2015,Bialowiezca,53,212,Poland,Bialystok,3,0.9975,NA,PINE,no,0,0,Continental,52.675,23.72222222
117,53_405,SV16P,PINE_PLOT16,Sietse,29/05/2015,Warzcawa,53,405,Poland,Warszawa,3,0.42,NA,PINE,quite a lot of Oak mixed in,1,1,Continental,52.01666667,21.1
118,53_513,SV12P,PINE_PLOT12,Sietse,16/03/2015,Zawadzkie,53,513,Poland,Katowice,5,0.3563,NA,PINE,some young Birch trees,1,1,Continental,50.58333333,18.45833333
119,53_804,SV28B,BEECH_PLOT28,Sietse,17/03/2015,Bircza,53,804,Poland,Krosno,9,1.05,NA,BEECH,no,0,0,Continental,49.65833333,22.49166667
120,53_816,SV23S,SPRUCE_PLOT23,Sietse,17/03/2015,Piwniznia Andrzekojow,53,816,Poland,Krakow,11,0.6,NA,SPRUCE,some understory Beech trees,1,1,Alpine,49.34694444,20.83472222
121,54_203,SV27S,SPRUCE_PLOT27,Sietse,09/06/2015,Lomnista dolina,54,203,Slovakia,,25,0.25,41 - 60,SPRUCE,the west side bordering a Beech forest,0,0,Alpine,48.92527778,19.4875
122,58_2015,SV14B,BEECH_PLOT14,Sietse,03/06/2014,B151/Doln??? M???se?ky,58,2015,Czech Republic,Krkono_e,19,0.25,> 120,BEECH,mainly beech,1,0,Continental,50.735,15.54
123,58_2061,SV04P,PINE_PLOT4,Sietse,20/11/2013,Q061/Bene_ovice,58,2061,Czech Republic,Z???pado?esk??? pahorkatina,11,0.25,81 - 100,PINE,a few Birch trees,1,0,Continental,49.74194444,12.86138889
124,58_2103,SV15B,BEECH_PLOT15,Sietse,04/06/2014,Q103/V_ete?,58,2103,Czech Republic,P???seck??? hory,13,0.25,101 - 120,BEECH,no,0,0,Continental,49.23,14.3
125,58_2161,SV11S,SPRUCE_PLOT11,Sietse,02/06/2014,I140/_elivka,58,2161,Czech Republic,St?edo?esk??? pahorkatina,9,0.25,101 - 120,SPRUCE,Spruce only,0,0,Continental,49.67527778,15.22972222
126,58_2401,SV25S,SPRUCE_PLOT25,Sietse,08/06/2015,Klepacka,58,2401,Czech Republic,,13,0.25,81 - 100,SPRUCE,"Beech, with Spruce dominant in both size and number",1,1,Continental,49.45361111,18.39777778
127,59_1,SV32P,PINE_PLOT32,Sietse,09/09/2015,Sagadi,59,1,Estonia,,2,0.25,41 - 60,PINE,some understorey Spruce and Birch,1,1,Boreal,59.56166667,26.04611111
128,59_2,SV31P,PINE_PLOT31,Sietse,09/09/2015,Vihula,59,2,Estonia,,1,0.25,41 - 60,PINE,quite a few patches of Spruce and Birch,1,1,Boreal,59.57833333,26.1325
129,59_3,SV29P,PINE_PLOT29,Sietse,08/09/2015,Pikasilla,59,3,Estonia,,2,0.25,41 - 60,PINE,some understorey Spruce and Birch,1,1,Boreal,58.05805556,26.11472222
130,59_7,SV30P,PINE_PLOT30,Sietse,08/09/2015,Karula,59,7,Estonia,,2,0.25,61 - 80,PINE,some understorey Spruce and Birch,1,1,Boreal,57.70055556,26.5175
131,59_8,SV36S,SPRUCE_PLOT36,Sietse,09/09/2015,Karepa,59,8,Estonia,,1,0.25,21 - 40,SPRUCE,quite a few Birch and Pine trees,1,1,Boreal,59.52888889,26.40222222
132,59_9,SV35S,SPRUCE_PLOT35,Sietse,08/09/2015,T???ravere,59,9,Estonia,,2,0.25,41 - 60,SPRUCE,quite a few Birch and Pine trees,1,1,Boreal,58.27361111,26.45888889
133,60_2,SV31B,BEECH_PLOT31,Sietse,13/05/2015,Fondek,60,2,Slovenia,,17,0.25,NA,BEECH,no,0,0,Continental,45.99861111,13.73777778
134,60_4,SV13P,PINE_PLOT13,Sietse,14/05/2015,Bdro,60,4,Slovenia,,10,0.25,NA,PINE,quite a few young Spruce trees and a few almost mature oaks and a sweet chestnut,1,1,Continental,46.28722222,14.40472222
135,4_N1,SV02S,SPRUCE_PLOT2,Sietse,22/10/2013,101 Idar-Oberstein,4,NA,Germany ,,NA,NA,NA,SPRUCE,no,0,0,Continental,49.74366,7.19609
136,4_N2,SV03B,BEECH_PLOT3,Sietse,21/11/2013,Flossenburg,4,NA,Germany,,NA,NA,NA,BEECH,quite a few Spruce,1,1,Continental,49.76221,12.40256
137,54_212,SV26S,SPRUCE_PLOT26,Sietse,09/06/2015,Zelezno,54,212,Slovakia,,NA,NA,NA,SPRUCE,two Beech trees both on the edge of the plot,1,0,Alpine,48.9536,19.38852
